X,Y,Z,EDA,HR,TEMP,id,datetime,label
-21.0,-53.0,27.0,0.213944,75.07,30.37,5C,2020-05-08 22:11:34.750000128,1.0
-49.0,-20.0,-37.0,0.237003,75.78,30.71,5C,2020-05-08 22:19:50.437499904,1.0
-78.0,15.0,-17.0,0.169362,88.87,29.79,5C,2020-06-24 14:22:37.718749952,2.0
-58.0,20.0,-3.0,0.381768,89.58,30.81,5C,2020-05-08 22:25:12.093750016,1.0
-57.0,-13.0,127.0,6.010464,109.75,35.81,5C,2020-04-14 22:55:47.406249984,1.0
-24.0,-6.0,59.0,0.426555,70.2,28.87,5C,2020-06-23 17:57:43.156250112,1.0
-37.0,-52.0,-2.0,0.327922,80.27,28.41,5C,2020-06-23 21:02:28.281250048,0.0
-55.0,27.0,24.0,2.231288,63.1,32.21,15,2020-07-31 20:06:23.249999872,2.0
-23.0,12.0,58.0,0.413745,71.02,29.01,5C,2020-06-23 19:06:01.312499968,0.0
-38.0,51.0,5.0,0.19857,90.77,30.77,5C,2020-05-08 22:23:55.437499904,1.0
-39.0,-5.0,45.0,9.295965,122.2,32.49,15,2020-07-24 13:23:14.468750080,2.0
-21.0,-66.0,13.0,2.669343,93.13,33.71,15,2020-07-22 21:20:53.031249920,2.0
-25.0,-54.0,20.0,0.097358,81.3,29.41,5C,2020-06-24 14:53:50.656250112,2.0
-89.0,-42.0,15.0,3.510589,82.83,33.61,15,2020-07-22 21:22:19.375000064,2.0
-40.0,1.0,49.0,0.626838,87.17,31.93,15,2020-07-21 16:37:09.062500096,2.0
-13.0,-4.0,62.0,0.35226,73.92,28.95,5C,2020-06-23 19:15:12.906249984,0.0
18.0,60.0,12.0,0.350979,69.1,29.25,5C,2020-06-23 18:03:06.406249984,1.0
-41.0,6.0,49.0,0.535863,68.08,32.33,15,2020-07-21 16:34:16.937499904,2.0
-22.0,-4.0,60.0,0.380441,79.78,29.01,5C,2020-06-23 17:56:40.468750080,1.0
51.0,-31.0,127.0,15.760292,103.73,35.75,5C,2020-04-14 22:46:38.281250048,1.0
3.0,57.0,30.0,0.249784,92.87,28.51,5C,2020-06-23 20:18:58.124999936,0.0
79.0,-61.0,96.0,0.209074,102.13,30.17,5C,2020-06-24 14:12:38.468750080,2.0
-36.0,-5.0,52.0,0.27156,69.82,28.93,5C,2020-06-23 19:55:34.968750080,0.0
-59.0,10.0,25.0,0.493164,109.13,28.85,5C,2020-06-23 20:51:21.187500032,0.0
-59.0,21.0,-19.0,5.948563,71.58,31.61,15,2020-07-08 14:13:28.093750016,2.0
-23.0,2.0,59.0,0.280527,69.18,28.87,5C,2020-06-23 19:45:08.062500096,0.0
18.0,60.0,10.0,0.306146,68.38,28.81,5C,2020-06-23 19:33:09.187500032,0.0
